firm_id,40firms,source_name,source_data,type,定期船（G/T）,専用船,不定期船,油槽船,D/W,海運企業集約資料より,一般貨物船・貨客船,専用船,油槽船,総運航船腹(not sum),group,major stockholder,富士,興銀,長銀,安田,第一,三井,三井信託,住友,住友信託,三菱,勧銀,三菱信託,神戸,大和,三和,東海,安田信託,その他
67,協立汽船,s39実相s40実相,『集約資料』の専属会社,専属会社,0,,49143,0,,,,,,,Mitsui O.S.K. Lines,,1,1,1,,1,1,,,,,1,,,,,1,,
68,第二協立汽船,s39実相,『集約資料』の専属会社,専属会社,0,,23667,0,,,,,,,Mitsui O.S.K. Lines,,,,,,,,,,,,,,,,,,,
69,東洋海運,s39実相s40実相,『集約資料』の専属会社,専属会社,0,7594,26625,0,,,,,,,Mitsui O.S.K. Lines,,,1,1,,,1,1,,,,1,,,,,,,
70,明治海運,s39実相,『集約資料』の専属会社,専属会社,0,8650,72346,47417,,,,,,,Mitsui O.S.K. Lines,,,,,,,,,,,,,,,,,,,
71,大光商船,s40実相,『集約資料』の専属会社,専属会社,5490,,21015,0,,,,,,,Mitsui O.S.K. Lines,,1,,,,,1,,1,,,1,,,,,,,北国
72,旧大安商船,s40実相,『集約資料』の専属会社,専属会社,0,12914,0,0,,,,,,,Mitsui O.S.K. Lines,,,,,,,,,,,,,,,,,,,
73,岡田商船,s40実相,『集約資料』の専属会社,専属会社,60706,6399,0,28604,,,,,,,Nippon Yusen,,1,1,,,,,,,,1,,,,,,1,,協和
74,八馬汽船,s40実相,『集約資料』の専属会社,専属会社,0,,52759,0,,,,,,,Nippon Yusen,,,1,1,,1,,,,,,,,,1,1,1,,
75,日本海汽船,s40実相,http://jpnships.g.dgdg.jp/company/company_list.htm,専属会社,50142,4027,0,0,,,,,,,Mitsui O.S.K. Lines,,1,1,1,,,,,,,1,1,,,,,,,
76,太洋海運,s40実相,『集約資料』の専属会社,専属会社,0,,51352,61564,,,,,,,Kawasaki Kisen Kaisha,,,,,,,,,,,,,,,,,,,
77,国洋海運,s40実相,http://jpnships.g.dgdg.jp/company/company_list.htm,専属会社,0,18666,40624,0,,,,,,,Kawasaki Kisen Kaisha,,,,,,,,,,,,,,,,,,,
78,広海汽船,s40実相,『集約資料』の専属会社,専属会社,10211,29421,0,0,,,,,,,Japan Lines,,1,1,1,,,,,1,,1,,,,,,,,
79,日正汽船,s40実相,45,系列会社,0,29354,95318,0,,,,,,,Yamashita-Shinnihon Kisen,,,,,,,,,,,,,,,,,,,
80,双葉海運,s40実相,46,専属会社,0,5738,0,49251,,,,,,,Yamashita-Shinnihon Kisen,,,,,,,,,,,,,,,,,,,
81,三菱鉱石輸送,,S40実相でグループ外,グループ外,0,86476,0,0,,,,,,,unmatched,,,,1,,,,,,,1,,1,,,,,,
82,日の丸汽船,http://jpnships.g.dgdg.jp/showa5/showa5_kaiungyosha_list.htm,『集約資料』の専属会社,専属会社,0,0,23304,0,,,,,,,Nippon Yusen,,,,,,,,,,,,,,,,,,,
83,東京郵船,,『集約資料』の専属会社,専属会社,0,0,13607,0,,,,,,,Nippon Yusen,,,,,,,,,,,,,,,,,,,
84,山本汽船,山本栄一？,『集約資料』の専属会社,専属会社,0,0,479,0,,,,,,,Nippon Yusen,,,,,,,,,,,,,,,,,,,
85,八千代汽船,,『集約資料』の専属会社,専属会社,0,0,31497,4817,,,,,,,Nippon Yusen,,,,,,,,,,,,,,,,,,,
86,万野汽船,,s39外航船,専属会社,0,0,3739,0,,,,,,,Nippon Yusen,,,,,,,,,,,,,,,,,,,
87,名村汽船,,『集約資料』の専属会社,専属会社,0,0,22599,0,,,,,,,Mitsui O.S.K. Lines,,,,,,,,,,,,,,,,,,,
88,日下部汽船,,『集約資料』の専属会社,専属会社,0,0,15763,0,,,,,,,Mitsui O.S.K. Lines,,,,,,,,,,,,,,,,,,,
89,東西汽船,,『集約資料』の専属会社,専属会社,0,0,3765,0,,,,,,,Mitsui O.S.K. Lines,,,,,,,,,,,,,,,,,,,
90,小谷汽船,,s39外航船,専属会社,0,0,9536,503,,,,,,,Mitsui O.S.K. Lines,,,,,,,,,,,,,,,,,,,
91,近海商船,,『集約資料』の専属会社,専属会社,0,0,7454,0,,,,,,,Mitsui O.S.K. Lines,,,,,,,,,,,,,,,,,,,
92,大安商船,,『集約資料』の専属会社,専属会社,0,0,0,0,,,,,,,Kawasaki Kisen Kaisha,,,,,,,,,,,,,,,,,,,
93,池田商事,,『集約資料』の専属会社,専属会社,0,0,0,0,,,,,,,nodata,,,,,,,,,,,,,,,,,,,
94,阿波国商事,阿波國共同汽船株式会社,『集約資料』の専属会社,専属会社,0,0,5640,0,,,,,,,Mitsui O.S.K. Lines,,,,,,,,,,,,,,,,,,,
95,神峰商事,,『集約資料』の専属会社,専属会社,0,0,0,0,,,,,,,nodata,,,,,,,,,,,,,,,,,,,
96,松岡汽船,,s39外航船,専属会社,0,0,27172,0,,,,,,,Japan Lines,,,,,,,,,,,,,,,,,,,
97,馬場汽船,,『集約資料』の専属会社,専属会社,0,0,10612,0,,,,,,,Mitsui O.S.K. Lines,,,,,,,,,,,,,,,,,,,
98,菅谷汽船,,『集約資料』の専属会社,専属会社,0,0,16663,0,,,,,,,Mitsui O.S.K. Lines,,,,,,,,,,,,,,,,,,,
99,板谷汽船,,『集約資料』の専属会社,専属会社,0,0,0,0,,,,,,,nodata,,,,,,,,,,,,,,,,,,,
100,東洋汽船,東洋海運株式会社,『集約資料』の専属会社,専属会社,0,0,42917,0,,,,,,,Mitsui O.S.K. Lines,,,,,,,,,,,,,,,,,,,
101,三井近海,三井近海汽船株式会社(東京),『集約資料』の専属会社,専属会社,0,0,15238,0,,,,,,,Mitsui O.S.K. Lines,,,,,,,,,,,,,,,,,,,
102,隆昌海運,,『集約資料』の専属会社,専属会社,0,0,18260,0,,,,,,,Mitsui O.S.K. Lines,,,,,,,,,,,,,,,,,,,
103,万珠海運,,s39外航船,専属会社,0,0,1998,0,,,,,,,Mitsui O.S.K. Lines,,,,,,,,,,,,,,,,,,,
104,？,,『集約資料』の専属会社,専属会社,0,0,0,0,,,,,,,nodata,,,,,,,,,,,,,,,,,,,
105,？,,『集約資料』の専属会社,専属会社,0,0,0,0,,,,,,,nodata,,,,,,,,,,,,,,,,,,,
106,国際汽船,,s39外航船,専属会社,0,0,9000,0,,,,,,,Japan Lines,,,,,,,,,,,,,,,,,,,
107,東海海運,東海汽船株式会社,『集約資料』の専属会社,専属会社,0,0,3833,0,,,,,,,Japan Lines,,,,,,,,,,,,,,,,,,,
108,原商船,,『集約資料』の専属会社,専属会社,0,0,24820,0,,,,,,,Kawasaki Kisen Kaisha,,,,,,,,,,,,,,,,,,,
109,神港商船,,『集約資料』の専属会社,専属会社,0,0,6570,0,,,,,,,Kawasaki Kisen Kaisha,,,,,,,,,,,,,,,,,,,
110,日豊海運,,『集約資料』の専属会社,専属会社,0,0,29244,0,,,,,,,Kawasaki Kisen Kaisha,,,,,,,,,,,,,,,,,,,
111,宮地汽船,,『集約資料』の専属会社,専属会社,0,13617,35725,0,,,,,,,Kawasaki Kisen Kaisha,,,,,,,,,,,,,,,,,,,
112,白洋汽船,,『集約資料』の専属会社,専属会社,0,0,6500,0,,,,,,,Kawasaki Kisen Kaisha,,,,,,,,,,,,,,,,,,,
113,国光海運,なし,『集約資料』の専属会社,専属会社,0,0,,0,,,,,,,Kawasaki Kisen Kaisha,,,,,,,,,,,,,,,,,,,
114,国際海運,なし,『集約資料』の専属会社,専属会社,0,0,,0,,,,,,,Kawasaki Kisen Kaisha,,,,,,,,,,,,,,,,,,,
115,山和商船,,『集約資料』の専属会社,専属会社,0,0,20138,0,,,,,,,Yamashita-Shinnihon Kisen,,,,,,,,,,,,,,,,,,,
116,山下近海汽船,山下近海汽船株式会社(神戸),『集約資料』の専属会社,専属会社,0,0,4946,0,,,,,,,Yamashita-Shinnihon Kisen,,,,,,,,,,,,,,,,,,,
117,山友汽船,,『集約資料』の専属会社,専属会社,0,0,5582,0,,,,,,,Yamashita-Shinnihon Kisen,,,,,,,,,,,,,,,,,,,
118,樽本汽船,http://www.jmuc.co.jp/amtec/jsiryo/pdf/k_ichiran.pdf,『集約資料』の専属会社,専属会社,4532,0,0,0,,,,,,,Yamashita-Shinnihon Kisen,,,,,,,,,,,,,,,,,,,
119,双葉汽船,双葉海運株式会社(東京),『集約資料』の専属会社,専属会社,0,0,0,21232,,,,,,,Yamashita-Shinnihon Kisen,,,,,,,,,,,,,,,,,,,
120,甲南汽船,,『集約資料』の専属会社,専属会社,0,0,14592,0,,,,,,,Yamashita-Shinnihon Kisen,,,,,,,,,,,,,,,,,,,
121,旭海運,旭海運株式会社(東京),『集約資料』の専属会社,専属会社,0,0,18019,0,,,,,,,Yamashita-Shinnihon Kisen,,,,,,,,,,,,,,,,,,,
122,新日立汽船,なし,『集約資料』の専属会社,専属会社,0,0,0,0,,,,,,,Yamashita-Shinnihon Kisen,,,,,,,,,,,,,,,,,,,
123,鶴丸汽船,,『集約資料』の専属会社,専属会社,0,0,8121,0,,,,,,,Yamashita-Shinnihon Kisen,,,,,,,,,,,,,,,,,,,
124,名古屋汽船,,『集約資料』の専属会社,専属会社,0,0,2428,0,,,,,,,Showa Line,,,,,,,,,,,,,,,,,,,
125,富洋汽船,,『集約資料』の専属会社,専属会社,0,0,2235,0,,,,,,,Showa Line,,,,,,,,,,,,,,,,,,,
126,東亜汽船,,s39外航船,専属会社,0,0,0,11844,,,,,,,Showa Line,,,,,,,,,,,,,,,,,,,
127,広南汽船,,s39外航船,専属会社,0,0,10631,0,,,,,,,Showa Line,,,,,,,,,,,,,,,,,,,
